,job_title,skills,experience,job_requirement
22,Front-End Developer - Vue.js,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'J2EE Design', 'SOA', 'Microservices', 'J2EE', 'NoSQL', 'Oracle', 'Microsoft SQL Server', 'Angular 5.0', 'Software', 'Project Management', 'Business Administration', 'Computer Engineering', 'Vue.js', 'javaScript', 'HTML', 'CSS', 'Vue', 'JS', 'Programming']",More Than 3 Years,Essential Qualifications and Experience: Bachelor degree in computer engineering. information technology. computer science or any related discipline. 3+ years of experience in the same position./ Technical skills: Proficient in Vue.js. JavaScript. HTML & CSS. Understanding of server-side rendering and its benefits and use cases. Knowledge of functional programming and object-oriented programming paradigms. Preferable with a design background. Personal skills & Qualifications / Experience: Strong analytical & Presentation skills Planning & time management skills Organizing & prioritizing skills Communication& problem solving skills. Work under pressure. Innovation.
23,Front-End Senior Developer,"['Information Technology (IT)', 'Angular', 'Computer Science', 'CSS', 'Engineering', 'HTML', 'JavaScript', 'Software Development', 'Software Engineering', 'Web Development', 'Front End']",4 To 6 Years,Ability to work in a fast-paced and agile development environment 4-6 years of professional experience in software development preferably in production teams close to the customer Strong working experience in front end web technologies and frameworks: React.js and/or Vuejs. HTML. CSS. Javascript Experience integrating with RESTful and GraphQL APIs Experience in state management libraries like Redux Experience working with source and version control management systems like Git and TFS Experience with common front-end development tools (e.g. Babel. Web pack. NPM) Experience with other web development frameworks. like Nextjs. Vuejs. Angular.js. and/orIonic. is a huge plus Working experience in Agile delivery teams is a plus Knowledge of modern authorization mechanisms. such as but not limited to. JWT and OAuth Knowledge of software engineering best practices and tools A University degree (BSc) in Software Engineering or similar background is preferred. Good command of English (written and verbal)
24,Senior Front-End Developer,"['UI', 'UX', 'Design', 'HTML5', 'CSS3', 'Information Technology (IT)', 'Computer Engineering', 'Computer Science', 'Software Development', 'Management', 'UI/UX', 'Photoshop', 'Illustrator', 'CSS', 'javaScript', 'UX Designer', 'Front End']",More Than 4 Years,4+ years of experience as a Front end Developer Bachelor’s degree in relevant field Excellent interpersonal and communication skills Detail oriented Critical thinker Problem solver and customer-centered
25,Senior Front-End Developer (Angular),"['Computer Science', 'Computer Engineering', 'Information Technology (IT)', 'UI', 'Front-End', 'Web Performance', 'HTML5', 'CSS3', 'Bootstrap', 'CSS', 'Angular', 'React', 'ASP', 'CSS Preprocessor', 'LESS', 'SASS', 'ASP Web Applications', 'Design', 'javaScript', 'HTML', 'Software Development', 'ASP Web']",More Than 5 Years,The best candidate should have: Qualifications: BSc in Design. Computer Science or relevant field. +5 years' work experience as a UI / Frontend developer. Experience in building big complex responsive websites. Experience in Responsive Programming. Web Performance. Browsers Compatibility. Proficient understanding of web markup. including HTML 5. CSS3 Proficient with Bootstrap and CSS Pre-processor such as Sass. LESS. Ability to discuss and explain design options. Exceptionally good coder with high familiarity in server-side web frameworks. Significant knowledge of visual aesthetic components and elements such as fonts. layout. color. graphics etc. A keen understating of user interaction and design principles and standards. Highly familiar with cross-browser compatibility issues and demonstrate design and user interface/user experience skills. Experience in Angular is a must. Experience in React is a plus. Experience in ASP web applications is a plus. Great passion for learning new technologies. Skills: Organized and have an ability to multi-task and meet tight deadlines. Creative and strategic Skills. Strong communication skills (both verbal and written). People person who inspires trust and confidence in others. Self-Motivated and committed. Problem solver and customer-centered.
26,Frontend Developer (Cairo),"['HTML5', 'CSS3', 'CSS', 'Information Technology (IT)', 'Js', 'SEO', 'Computer Science', 'Angular', 'Sass', 'Responsive Design', 'JavaScript', 'Software Development']",More Than 2 Years,Proficient understanding of web markup. including HTML5. CSS3. Basic understanding of CSS pre-processing platforms. such as SCSS and SASS. Proficient understanding of client-side scripting and JavaScript frameworks. especially angular 2+ and angular JS. Experience with responsive and adaptive design. Understanding of SEO principles. A passion for solving problems and providing workable solutions .               Knowledge of algorithms and data structures. Excellent analytical and multitasking skills. BSc degree in Computer Science or relevant field. 2+ years of experience. 
27,Front-End Developer,"['Angular +2', 'HTML5', 'CSS', 'javaScript', 'Front End', 'Front-End', 'Software Engineering', 'Software Development', 'Information Technology (IT)', 'SASS', 'ES6', 'HTML', 'Angular', 'Zeplin', 'UI', 'UX', 'Computer Science', 'Design', 'APIs']",More Than 1 Year,Experience 1 year or more. Knowledge of modern client-side technologies. such as HTML5 + APIs. CSS + Preprocessors (SASS). modern JavaScript (ES6) and responsive design techniques. Knowledge of Angular +2 is must. Collaborate with designers to optimize design for the best UX with the most usable UI components. Knowledge with the best practices of Angular. Familiar with Zeplin is a plus. Experience with Angular Material is a plus. Designing beautiful. rich responsive applications that are as engaging as they are shareable. Experience in designing and writing modular and reusable components. Understanding of PWA is a plus. Experience with version control using Git & Github. Stay up to date with current frameworks. tools. techniques. and libraries.
28,Senior Frontend / Vue.Js Developer,"['Less', 'Sass', 'Git', 'Design', 'VUEJS']",More Than 4 Years,Highly proficient with the JavaScript language and its modern ES6+ syntax and features . Highly proficient with Vue.js framework and its core principles such as components. reactivity. and the virtual DOM . Worked on large-scale. e-services projects and have the ability to design scalable. maintainable large apps. Able to deliver responsive UI interfaces. Experience in UX and picks his choices carefully and based on science. Cares about Code cleanliness and follows community guidelines to deliver high quality code. Deep knowledge of Git version control. Excellent troubleshooting and debugging skills. Familiar with UnitTesting and e2e testing. Familiarity with the Vue.js ecosystem. including Vue CLI. Vuex. Vue Router. and Nuxt.js . Good understanding of HTML5 and CSS3. including (Sass or Less depending on your technology stack ) . Understanding of server-side rendering and its benefits and use cases . Knowledge of functional programming and object-oriented programming paradigms . Ability to write efficient. secure. well-documented. and clean JavaScript code . Familiarity with automated JavaScript testing. specifically testing frameworks such as Jest or Mocha . Proficiency with modern development tools. like Babel. Webpack. and Git  . Experience with graphql 
29,Senior Front-end Developer (Remote/WFH),"['JavaScript', 'React', 'Software Development', 'Information Technology (IT)', 'Computer Science', 'CSS', 'Design', 'UI/UX', 'UX', 'Front End', 'Back End', 'Software', 'Software Engineering']",More Than 3 Years,What you have 3+ years of relevant experience Extensive knowledge of front-end technologies. including JavaScript. CSS. and HTML Extensive knowledge of various debugging and testing processes Working experience with React library Excellent spoken and written English communication skills What’s good to have Proficiency in advanced coding techniques and cross-platform development Working knowledge of technologies such as Mobx. Gatsby. WebSocket. and styled-components Experience with Git Understanding of UI/UX design processes Working knowledge of open-source platforms like Linux Familiarity with back-end technologies and processes What we’ll give you Exciting work challenges Dynamic collaboration with international teams Training sessions and webinars to help you advance your career Competitive hourly salary in the payment method of your choice
30,Senior Backend Developer NodeJS,"['back-end', 'Software Development', 'Node.js', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Software', 'Software Engineering']",3 To 5 Years,Strong computer science fundamentals including data structures. algorithms. complexity analysis. and distributed systems. Proven experience as a backend engineer. From 3:5 years of experience as a Backend Developer. Very good English command is a must. Ability to work in a remote setup. Ability to independently own and deliver features from start to finish. Understand both how to write tests and the value of automated testing. Experience with all phases of the software development life cycle. best practices. and Agile Software Development. Solid software design knowledge – you should know how to create software that’s extensible. reusable. and meets desired architectural objectives. Experience with Node.js. Express. GraphQL. and the willingness to learn new technologies. Establish Back-End Software Engineer best practices. Knowledge of SQL database systems and NoSQL databases (PostgreSQL). Experience with CI/CD processes and tools (e.g. CircleCI. Github Actions). Experience with containerization technologies (e.g. Docker). Experience with AWS is a plus (e.g. ECS. S3. etc…). Experience with Functional and Reactive programming is a plus (e.g. RxJS. IxJS. Ramda. Lodash). Experience with stream and batch processing real-time systems is a plus.
31,Web Back-End Developer,"['back-end', 'PHP', 'CSS', 'HTML', 'Information Technology (IT)', 'Laravel', 'Computer Science', 'Programming', 'Web Development', 'MVC', 'Software Development', 'JavaScript']",2 To 3 Years, We are looking for Web Back-End Developer to work in our office located in New Cairo . • 2 -3    years web development experience • 1+ year experience using laravel framework • Good knowledge in API implementation • Experience with PHP programming language. • Good knowledge of MVC . PHP framework. • Familiar with HTML. CSS. and JavaScript . • Critical thinker and problem-solving skills • Familiarity with concepts of CPanel. • JS Framework is a plus. • Fluency in English (Speaking and Writing(  • Team player • Good organizational and time-management skills
32,NodeJS Backend Developer,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'Microservices', 'NoSQL', 'Nodejs', 'javaScript', 'MySQL', 'Agile', 'Backend', 'Python', 'MongoDB']",More Than 3 Years,Essential Qualifications and Experience Bachelor of Computer Science or Engineering. Min 3 years’ experience in developing backend systems with NodeJS Technical skills (Must Have): Experience with NodeJS and typescript. Excellent command of work with MYSQL and MongoDB. Good knowledge of Microservices architectures. Good knowledge on webservices (REST). Knowledge of working with Agile Software Development. Scrum Framework and Jira Experience with code source control using GIT. Technical skills as a plus: Experience with NestJS Experience with Python Good knowledge of Kafka. Elastic Search Good knowledge on NoSQL (REDIS) Familiar with front end development VueJS Personal skills & Qualifications / Experience: Eager to learn new innovative technologies and grow in startup environments Excellent Communication and comfortable with working in a remote environments. Attention to details. Work under pressure and flexible time.
33,Senior Backend Developer,"['Computer Science', 'Information Technology (IT)', 'back-end', 'API', 'Software Development', 'Software Engineering', 'REST', 'MySQL', 'Node.js', 'AWS', 'Agile', 'JavaScript', 'Backend']",More Than 3 Years,+3 years of experience as a Back-end developer Bachelor's Degree is a Must An ambitious senior-level backend developer who's keen to learn. Advanced knowledge of node.js and have worked on large API projects previously with advanced JavaScript knowledge (ES6/ ES5) - minimum 3 years experience. Node JS tools including Express. Joi. Sequelize. etc. Candidates must have a strong to advanced knowledge of AWS infrastructure and tools including Elastic Beanstalk. EC2. RDS (MySQL and/or Aurora). SES. SQS. Lambda. API Gateway. Redshift. CloudWatch. etc. Candidates must have excellent API documentation skills and experience working with the OpenAPI (Swagger) Specification. Knowledge of system networking and security. with a focus on AWS (VPNs. VPC. CloudWatch. etc.) - minimum 3 years experience. Experience with any of Serverless. REST API. OAuth. SAML. SOAP API. Social Network SSO. An organized worker who knows how to structure their own work and work collaboratively with a team of developers. Experience working in Agile teams applying proper Scrum.
34,Web Developer Backend,"['Engineering - Telecom/Technology', 'Software Development', 'Web Development', 'javaScript', 'SEO', 'Computer Science', 'Information Technology (IT)', 'Computer Engineering', 'jQuery', 'Web', 'developer', 'web developer', 'backend', 'back-end', 'front-end', 'HTML', 'Java', 'PHP', 'Programming']",2 To 3 Years,2 years of experience as a Back-end developer In-depth understanding of web development 2 years of experience with programming languages like Java. Ruby. PHP and Python X years of experience with CMS framework Familiarity with front-end languages such as HTML. JavaScript and CSS Critical thinker and problem-solving skills Team player Good organizational and time-management skills Great interpersonal and communication skills BA degree in Computer Science or similar relevant field   
35,Senior Backend Developer Node JS,"['Computer Science', 'Information Technology (IT)', 'Agile', 'Software', 'Node.js', 'Python', 'SQL', 'Github', 'Docker', 'AWS', 'Programming', 'Testing', 'Software Development', 'Design', 'Software Engineering', 'JavaScript']",3 To 5 Years,Job Requirements: Strong computer science fundamentals including data structures. algorithms. complexity analysis.   and distributed systems. Proven experience as a backend engineer. From 3:5 years of experience as a Backend Developer. Very good English command is a must.  Ability to work in a remote setup. Ability to independently own and deliver features from start to finish. Understand both how to write tests and the value of automated testing. Experience with all phases of the software development life cycle. best practices. and Agile Software Development. Solid software design knowledge – you should know how to create software that’s extensible. reusable. and meets desired architectural objectives. Experience with Node.js. Express. GraphQL and the willingness to learn new technologies. Establish Back-End Software Engineer best practices. Experience with Linux/Unix and scripting languages like Python. Knowledge in SQL database systems and NoSQL databases (PostgreSQL). Experience with CI/CD processes and tools (e.g. CircleCI. Github Actions). Experience with containerization technologies (e.g. Docker). Experience with AWS is a plus (e.g. ECS. S3. etc…). Experience with Functional and Reactive programming is a plus (e.g. RxJS. IxJS. Ramda. Lodash). Experience with stream and batch processing real time systems is a plus. Benefits: Attractive Package. Stock Option. Social Insurance. Medical Insurance. Flexibility to work from home. 
36,Senior Backend Developer,"['Backend developer', 'Python', 'JavaScript', 'Computer Science', 'Software', 'Git', 'Docker', 'Kubernetes', 'Linux', 'Django', 'Database']",4 To 6 Years,BS degree in computer science. software engineering Ability to program confidently in a web language “Open Source Technologies” ( PHP. MYSQL. Python). preferably python Developed with at least one CMS framework or web application framework. preferable django Exposure to front-end technologies and languages which power the web such as HTML. CSS. and JavaScript. Experience with JS frameworks such as Vue is a plus. Either understanding or willingness to understand back-end for machine learning. Not MLops (although that’s a plus). but maintenance. and support for an ML-based framework. Experience with Git or another version control system. Ability to to follow deployment processes. and further develop it. Hands on docker and kubernetes. Start Date: ASAP Reports to: CTO
37,Backend Full Stack Developer/Senior Developer,"['APIs', 'Computer Science', 'CSS', 'Full Stack', 'HTML', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'Angular', 'Node.js', 'React']",2 To 4 Years,Degree in Computer Science. or relevant field  Experience from 2 to 4 years  Proven experience as a Full Stack  backend Development Deep knowledge of JavaScript frameworks (e.g. Angular. React. Node.js) Familiarity with Oracle databases Designing and developing APIs Fundamental front-end languages such as HTML. CSS. and JavaScript Cloud experience especially Oracle PaaS is a plus Oracle BPM. VBCS. PCS. and OIC knowledge is a plus Good problem-solving skill An analytical mind Excellent communication and teamwork skills  
